Date,AMT,BLL,CNC,DG,DLR,EA,EFX,GDX,REGN,SBAC,VFC,VRSN,VRTX
30/04/2019,188.2082062,58.99060059,51.56000137,124.0937881,109.9676743,94.40699005,123.3599701,20.63518906,343.1400146,201.8568726,85.17431641,197.4499969,168.9799957
01/05/2019,185.9049683,57.74071503,49.72999954,121.8597412,109.9022751,94.61644745,121.9104156,20.26970482,340.7900085,201.9361267,83.91126251,194.4400024,172.6000061
02/05/2019,185.7989807,59.0496521,51.61999893,122.6569138,110.9859695,94.15763092,120.764473,19.92397308,335.4100037,202.3126678,84.70518494,194.9799957,169.5399933
03/05/2019,185.9434967,60.56526184,52.59000015,122.7258148,112.7610092,92.26250458,121.6165848,20.04251099,336.8900146,205.0175476,86.04039764,196.9499969,173.8699951
06/05/2019,185.2014771,60.96876907,56.04000092,122.3911896,111.537178,93.51927185,121.3423309,20.05238533,344.230011,204.1456299,84.67810822,197.1300049,174.7599945
07/05/2019,182.9561005,60.98844528,55.84999847,120.3145905,109.6967468,92.49192047,118.7370377,20.45738411,322.3999939,202.4711761,84.47962952,193.1799927,170.2799988
08/05/2019,184.6810913,60.96876907,56.61999893,120.3441162,109.9396515,93.63896179,117.5323257,20.23019028,329,206.0281677,84.55181122,193.1499939,169.0099945
09/05/2019,185.5291443,61.3821106,54.74000168,121.0133514,109.8649063,93.08039856,116.5920715,20.18080139,324.1700134,205.4039764,84.84049988,193.7299957,169.9100037
10/05/2019,188.5550995,63.29138565,55.04999924,119.9110794,109.8462372,93.63896179,116.9446716,20.03263283,312.8599854,208.4556427,83.82106018,194.6399994,168.8500061
13/05/2019,189.7308197,63.38980103,54.90000153,116.387764,109.0334473,90.18785095,114.0357513,20.67470169,305.1499939,207.3459473,81.3039856,189.2100067,164.6100006
14/05/2019,190.8776398,62.43516541,54.74000168,115.4232712,109.2016068,94.32719421,116.2492599,20.58580017,304.6199951,207.5441132,81.51147461,191.25,166.7200012
15/05/2019,193.1904602,61.51988983,54.43000031,116.1712418,109.9022751,96.52153778,116.278656,20.53641129,305.8500061,208.4655457,81.82724762,193.8800049,166.8800049
16/05/2019,194.6841736,61.57894135,55.56999969,117.824646,110.565567,98.74581909,119.0504608,20.30921364,308.0400085,210.3579865,82.36855316,196.8300018,170.2299957
17/05/2019,195.0792999,61.57894135,56.04000092,118.2872009,110.2199249,97.01029205,118.629303,20.49689865,304.9400024,208.0494232,81.91746521,195.3000031,168.7299957
20/05/2019,191.0510712,61.0573349,55.50999832,117.9230499,108.5289612,92.45202637,118.7860184,20.42775154,302.5700073,201.3614807,81.74604797,194.1600037,165.7299957
21/05/2019,190.9739838,61.41163635,57.13999939,119.6256714,109.3043747,95.40442657,120.2551575,20.45738411,309.9500122,203.6105957,83.09028625,195.5599976,169.1199951
22/05/2019,193.3832092,60.52589035,56.77999878,120.1177597,110.565567,93.59906006,121.2933502,20.11165428,320.0899963,204.9382782,81.49343109,197.6900024,172.3699951
23/05/2019,195.5514984,60.08301544,55.41999817,118.7300873,111.4624329,91.87351227,118.9451218,20.19067955,315.2600098,208.0989685,80.56742096,194.6300049,173.0099945
24/05/2019,195.6285706,60.3782692,56.86999893,120.0291901,112.0883789,92.03309631,119.5935822,20.3190918,312.5599976,206.8208313,80.51953125,194.7299957,171.7700043
28/05/2019,195.1949005,60.23064804,56.09000015,118.0608521,111.2475586,93.2599411,121.2442551,20.17092323,307.9299927,201.9559479,79.28356934,194.7799988,172.7599945
29/05/2019,193.8265076,59.54173279,56.22999954,116.6338043,109.7528076,92.31237793,120.2027512,20.17092323,307.7799988,201.8964996,78.78535461,194.5200043,166.5500031
30/05/2019,197.2572174,60.07317734,57,124.9893875,109.9770126,91.89345551,120.9986038,20.51665497,307.9599915,210.6552429,79.26439667,195.9199982,170.2599945
31/05/2019,201.1890717,60.56646729,57.75,125.2649612,109.9770126,92.84101868,118.7879105,21.32665062,301.7200012,214.4203033,78.45000458,194.9799957,166.1799927
03/06/2019,201.6901855,61.21762085,51.81999969,126.9577332,107.3051224,91.07556152,118.4243622,22.21567345,303.9500122,215.4210052,79.48477173,189.3300018,166.6399994
04/06/2019,200.456665,62.24365997,53.93999863,127.9419022,105.3806381,93.88832092,122.0204315,22.31445313,302.0599976,215.4606628,81.53511047,194.2899933,171.2700043
05/06/2019,205.0437927,63.58541489,53.86999893,128.3355408,107.295784,95.00544739,125.7638779,22.35396576,300,218.6906738,82.1483078,200.3300018,173.2700043
06/06/2019,204.9763489,64.77919006,53.88999939,129.3787842,107.9030304,96.14251709,126.8446732,22.59103966,299.6000061,219.4436798,80.92193604,203.2599945,167.75
07/06/2019,204.7451019,65.01597595,54.20999908,131.0420227,108.3701553,96.74098206,127.8959656,22.61079407,306.7200012,218.4727173,81.65451813,207.0899963,173.5099945
10/06/2019,202.2298431,65.430336,54.97000122,132.8332214,109.1455536,95.26477814,127.9352798,22.18603897,304.25,219.5031128,82.59916687,207.1100006,172.8399963
11/06/2019,201.3818054,65.54872894,54.15999985,133.3646545,111.3783493,94.33716583,126.4025269,22.31445313,306.8399963,221.2172394,82.39674377,206.5800018,172
12/06/2019,203.819931,65.70658112,53.68999863,133.8862762,111.537178,92.43206787,128.7016449,22.67993927,306.1600037,224.7642975,81.71234894,206.5,170.6300049
13/06/2019,201.4203644,64.04910278,53.74000168,133.8075562,112.1405334,93.32975769,130.3129883,22.9565258,307.4200134,222.4358978,83.69805145,205.3699951,168.8899994
14/06/2019,203.5597382,64.532547,53.54999924,133.5417938,112.9041672,92.49192047,129.7332764,23.04542732,305.2399902,224.4175262,84.1125412,205.1999969,170.2200012
17/06/2019,206.3158722,64.4437561,55.00999832,133.7484741,115.4778824,92.20265961,130.2835083,23.17384148,310.980011,225.6560516,84.03542328,203.3399963,173.7799988
18/06/2019,207.4966583,65.55858612,55.25999832,134.8802795,115.4213104,91.79371643,130.4407349,23.3812809,306.6300049,227.4394989,85.11503601,205.9299927,177.9400024
19/06/2019,209.2194061,65.76576996,55.45999908,135.9825592,116.9014435,92.34230042,131.5313263,23.70725632,310.8299866,231.3333435,85.1632309,209.4100037,181.75
20/06/2019,210.526001,66.34785461,55.38000107,136.6124268,117.7310562,92.950737,132.6219482,24.7444458,320.480011,231.5315247,85.41384888,211.0200043,182.1699982
21/06/2019,208.2612457,66.18015289,56.36999893,136.582901,116.1001053,95.08524323,131.7278137,24.90249634,320.2600098,229.7777863,85.18250275,210.75,183.9700012
24/06/2019,207.6514893,66.27878571,55.33000183,134.9688416,116.156662,98.74581909,130.833725,25.85078621,312.5499878,230.3821869,84.68125153,209.5700073,181.0200043
25/06/2019,204.0317688,67.14698792,53.90999985,133.8567505,114.0731735,96.6512146,128.6918335,25.31737137,312.8999939,226.2307129,82.32926941,207.8999939,180.1499939
26/06/2019,199.1828461,66.84114075,52.02000046,134.3094482,110.5378494,97.07012939,128.8097382,25.20871544,305.0799866,221.4451141,82.6088028,205.6900024,177.6600037
27/06/2019,199.2312622,67.18647003,52.43999863,134.2996368,110.8678207,98.8854599,130.1164856,25.02103233,310.6700134,222.7628937,83.57273865,207.2899933,178.5800018
