Date,AMT,BLL,CNC,DG,DLR,EA,EFX,GDX,REGN,SBAC,VFC,VRSN,VRTX
01/02/2019,163.4898529,51.11362839,65.88999939,112.9231873,100.4750214,90.98579407,105.3404236,22.29469681,430.1499939,179.0458832,75.08222198,170.5200043,191.5200043
04/02/2019,163.9791107,51.06450272,64.98500061,114.4937363,101.1413956,88.20295715,105.17453,22.21567345,425.3999939,180.3506012,75.82208252,173.2899933,187.9799957
05/02/2019,165.408432,52.06653976,63.73500061,113.9047775,102.5759583,92.28244781,105.1842728,22.33420944,421.0400085,182.4559937,76.42823029,173.7799988,187.0200043
06/02/2019,163.3363953,52.27283859,63.08000183,114.2090607,99.86417389,80.00406647,104.4913712,21.94896698,406.5599976,179.3226318,77.07894135,173.8899994,182.3899994
07/02/2019,165.0055389,52.32196045,63.90999985,115.2103119,101.8540497,83.88407135,104.0327072,21.76128578,406.4599915,181.5268555,76.69565582,173.0500031,180.1799927
08/02/2019,165.408432,52.95068741,62.90000153,114.1796265,103.9549942,97.34941101,104.305954,22.06750298,406.8599854,181.1018372,76.46387482,173.0899963,181.3399963
11/02/2019,165.9456329,52.90157318,61.95000076,115.0924988,104.7972336,96.99033356,104.6670532,21.81067467,408.5100098,181.8431549,76.2053833,170.5299988,181.5299988
12/02/2019,165.5619049,53.93308258,63.04999924,115.8385162,103.2978745,102.0672684,105.8088684,21.78103828,416.3399963,181.0919647,77.23047638,174.2899933,184.0099945
13/02/2019,166.6267242,54.22779465,63.68999863,116.7121506,103.834671,101.9874725,105.8869476,21.65262604,412.0899963,182.2088623,77.08786774,174.2799988,185.25
14/02/2019,168.6315765,53.98220062,63.95999908,116.3391495,105.3340302,104.9797745,106.3065796,21.86994171,414.9700012,182.0606232,76.63323975,175.1100006,185.7200012
15/02/2019,170.5789642,53.17663956,64.97000122,116.8103027,106.4631653,106.5656891,106.6774292,22.1564064,423.9700012,183.3554535,77.46224213,175.3999939,188.0700073
19/02/2019,170.3679047,53.10787201,64.41000366,116.9575577,107.7403946,102.6956558,106.6872025,22.85774422,420.6000061,181.4280396,77.31070709,175.6799927,186.8600006
20/02/2019,169.4949493,53.44189072,65.27999878,116.8004913,109.6654816,98.37677002,105.5258484,23.0750618,422.5100098,180.8745117,76.98980713,176.0099945,187.8399963
21/02/2019,169.3223114,53.52047729,63.50999832,116.2802429,107.7033691,96.61131287,107.8290253,22.69969749,418.6199951,180.5483093,76.48170471,176,183.0599976
22/02/2019,169.4374084,54.28673553,64.01000214,116.2017212,109.6654816,95.67372131,108.092514,22.77871895,422.519989,180.4395599,77.10570526,178.7899933,185.7599945
