Date,AMT,BLL,CNC,DG,DLR,EA,EFX,GDX,REGN,SBAC,VFC,VRSN,VRTX
01/02/2021,234.3548584,89.26450348,59.59999847,192.3500366,146.9350891,145.6893463,179.9139557,35.68000031,508.0799866,277.6053162,78.14731598,198.7100067,231.7700043
02/02/2021,234.9318542,90.35261536,59.63999939,194.9446411,147.3316345,148.7855225,180.0636444,34.61999893,499.980011,281.2266541,79.78739166,202.4600067,217.3300018
03/02/2021,231.1116791,90.80182648,60.47999954,195.3737335,146.0527344,140.6456146,178.3972931,34.61000061,491.1799927,271.4700012,78.57473755,199.1499939,211
04/02/2021,231.002243,88.74541473,60.40000153,195.3138733,143.8022614,138.4583282,180.492691,33.84000015,498.8399963,273.5849304,80.87084198,199.3099976,213.7100067
05/02/2021,231.7881775,89.23455811,58.88000107,193.4178162,144.3078766,141.0451202,178.2476349,34.61000061,498.980011,273.2058411,81.367836,199.5200043,215.2599945
08/02/2021,231.5891876,89.56398773,58.24000168,197.9683533,145.1109009,142.2835846,179.0159454,35.22000122,494.8999939,266.3722229,81.20879364,200.5200043,214.3699951
09/02/2021,230.4650269,88.63560486,60.27000046,203.067749,146.9648285,145.9290619,182.8076019,35.18000031,490.6799927,266.0230713,80.56270599,200.2899933,213.8200073
10/02/2021,230.4650269,89.75366211,61.06000137,200.9022522,146.2609253,144.4309082,182.598053,35.27999878,491.2200012,265.3845825,80.44342804,203.1499939,212.5299988
11/02/2021,226.6448364,88.37605286,59.97000122,199.6248932,143.5742493,147.1475525,176.5613403,34.81000137,490.5400085,264.3869629,80.006073,204.5500031,210.5
12/02/2021,226.0180817,89.52405548,59.20000076,198.1878967,138.8551788,147.5570374,176.8008118,34.77999878,485.6199951,263.3095703,79.03196716,202.3899994,213.9799957
16/02/2021,223.8194733,90.02318573,58.18999863,199.8144989,136.0197906,145.5994568,174.4459991,34.09000015,480.7099915,258.8801575,80.39372253,198.1499939,210.2700043
17/02/2021,225.1426239,89.70374298,58.61000061,201.0818787,137.0904999,145.6493988,176.2021332,33.22000122,481.6799927,258.9400024,79.04190063,199.1100006,214.8500061
18/02/2021,227.0825653,90.21286011,58.72999954,202.4091187,136.753418,147.2274475,177.1699982,32.79000092,477.0299988,262.1722717,79.11148071,201.0899963,209.8300018
19/02/2021,225.2023163,90.32266998,57.97000122,200.7425842,135.2762299,145.7692566,176.5399933,32.74000168,470.3699951,261.1447144,79.91661835,197.9499969,207.0200043
22/02/2021,223.9090271,87.91685486,58.27999878,198.3575439,136.4163513,142.0838165,169.9299927,34.20999908,460.5799866,259.0796814,80.32415009,193.2299957,214.9600067
23/02/2021,222.0188141,86.35956573,59.29999924,194.7749786,136.118927,140.9951782,171.8699951,33.43999863,468.0299988,248.1957397,79.2407074,192.0599976,216.4400024
24/02/2021,223.6205139,86.11000061,59.34999847,192.2103271,133.9874115,137.509491,170.6999969,33.70000076,458.6000061,249.9116211,81.46723175,195.5099945,217.0399933
25/02/2021,223.5906677,86.11000061,58.75999832,188.2884674,133.2141266,135.072525,163.5,32.33000183,453.1900024,255.9072723,79.58860016,190.3600006,212.9799957
